frame,value
frame_0,-0.15079195532090212
frame_1,-0.15079195532090212
frame_2,-0.5091097750785851
frame_3,-0.5290078432569353
frame_4,-0.26929532761619923
frame_5,0.4198736533707694
frame_6,0.7666554765465254
frame_7,0.6707052827539903
frame_8,0.5738395336771752
frame_9,0.24805444502090518
frame_10,0.02023377178258614
frame_11,-0.12451551866206854
frame_12,-0.369579149754326
frame_13,-0.6355174413281656
frame_14,-0.6355174413281656
frame_15,-0.6865138706625569
frame_16,-0.6997589037751396
frame_17,-0.3392437513351848
frame_18,0.37015900143436997
frame_19,0.8569902645954771
frame_20,0.9444868312631611
frame_21,0.7000946073793756
frame_22,0.06390575884273812
frame_23,-0.62968840601825
frame_24,-0.7786492507705923
frame_25,-0.6323435163426618
frame_26,-0.38312936796166874
frame_27,-0.38312936796166874
frame_28,-0.16425061799981688
frame_29,-0.05154576250495926
frame_30,0.03509628589739677
frame_31,0.3350321970274972
frame_32,0.6768395031586657
frame_33,0.7650990325632496
frame_34,0.6725669118320261
frame_35,0.13238929410687583
frame_36,-0.5956602679525131
frame_37,-0.9063692129276406
frame_38,-0.9169286172063357
frame_39,-0.5530869472334972
frame_40,-0.5530869472334972
frame_41,0.08975493636890775
frame_42,0.5704519791253395
frame_43,0.7144688253425703
frame_44,0.5589159825434126
frame_45,0.3225501266518143
frame_46,0.1293374431592761
frame_47,0.014984588152714622
frame_48,-0.0934781945249794
frame_49,-0.3924985503707999
frame_50,-0.7052217169713432
frame_51,-0.771141697439497
frame_52,-0.5920285653248696
frame_53,-0.5920285653248696
frame_54,-0.05377361369670705
frame_55,0.5860469374675741
frame_56,0.9857478560747093
frame_57,0.8665730765709403
frame_58,0.294015320291757
frame_59,-0.19266335032197027
frame_60,-0.5954466383861812
frame_61,-0.7374187444685202
frame_62,-0.5017242957853938
frame_63,-0.3184606463820307
frame_64,-0.12253181554612873
frame_65,-0.16180913724173712
frame_66,0.0748924222540971
frame_67,0.0748924222540971
frame_68,0.4045228431043428
frame_69,0.6135746330149235
frame_70,0.9154332102420117
frame_71,0.4719687490462966
frame_72,-0.24854274117252115
frame_73,-0.7780999176000244
frame_74,-0.9075289162877285
frame_75,-0.7202673421430097
frame_76,-0.28757591479232153
frame_77,0.2979827265236366
frame_78,0.5265358439893796
frame_79,0.48438978240302744
frame_80,0.48438978240302744
frame_81,0.38718832972197637
frame_82,0.24307992797631764
frame_83,0.21445356608783228
frame_84,0.05706961272011475
frame_85,-0.2140568254646443
frame_86,-0.5038300729392376
frame_87,-0.8131656849879452
frame_88,-0.6878261665700247
frame_89,-0.3686330759605701
frame_90,0.2097231971190527
frame_91,0.8384044923245949
frame_92,0.9051484725486008
frame_93,0.9051484725486008
frame_94,0.6212042603839228
frame_95,0.09018219550157171
frame_96,-0.3867000335703604
frame_97,-0.5953550828577532
frame_98,-0.5311441389202551
frame_99,-0.37528611102633747
frame_100,-0.28937650685140537
frame_101,-0.2706381420331431
frame_102,-0.15243995483260597
frame_103,0.1587267677846614
frame_104,0.5710928678243354
frame_105,0.8430127872554705
frame_106,0.8430127872554705
frame_107,0.7300027466658529
frame_108,0.20133060701315347
frame_109,-0.5054475539414655
frame_110,-0.924405652027955
frame_111,-0.8830225531785028
frame_112,-0.4976653340250862
